OPE	0.4428	0.3224	0.2348	VNO	1	1
VAS	0.5877	0.2794	0.1329	LEC	1	1
SCO	0.4352	0.3238	0.2410	GRE	2	1
TOM	0.5459	0.2949	0.1593	NOV	2	0
CHA	0.4213	0.3262	0.2526	BAH	3	1
GUA	0.5152	0.3046	0.1801	LEC	1	0
CRB	0.4900	0.3117	0.1983	CHA	2	1
NAU	0.3931	0.3300	0.2769	TOM	4	3
BRU	0.4119	0.3276	0.2605	SPT	0	1
NOV	0.4144	0.3272	0.2584	BAH	1	1
OPE	0.3841	0.3309	0.2850	VAS	2	3
GRE	0.6795	0.2375	0.0830	CSA	2	0
SCO	0.5399	0.2969	0.1632	PON	2	1
CRU	0.6774	0.2386	0.0840	ITU	1	1
VNO	0.4720	0.3162	0.2118	CRI	1	0
PON	0.5380	0.2975	0.1645	VNO	1	1
CSA	0.4204	0.3263	0.2533	SCO	0	0
SPT	0.3665	0.3323	0.3012	CRU	3	1
CRI	0.6877	0.2332	0.0791	NAU	2	1
ITU	0.5905	0.2783	0.1312	GUA	2	1
LEC	0.4060	0.3284	0.2656	GRE	1	1
VAS	0.6332	0.2600	0.1068	NOV	3	0
BAH	0.6759	0.2394	0.0848	BRU	1	0
TOM	0.5536	0.2922	0.1542	CRB	1	2
CHA	0.6112	0.2698	0.1191	OPE	1	1
GUA	0.5424	0.2960	0.1616	CRB	1	0
CSA	0.4707	0.3165	0.2128	LEC	0	1
SPT	0.5181	0.3038	0.1781	VAS	1	1
CRI	0.5223	0.3025	0.1752	ITU	3	0
NOV	0.6059	0.2720	0.1221	NAU	6	0
OPE	0.5325	0.2993	0.1682	BRU	0	0
TOM	0.4954	0.3103	0.1944	PON	0	0
GRE	0.5675	0.2872	0.1453	BAH	1	1
SCO	0.5845	0.2807	0.1348	CHA	2	1
VNO	0.3458	0.3332	0.3210	CRU	1	0
PON	0.6175	0.2670	0.1155	CSA	0	2
CRB	0.5909	0.2782	0.1310	OPE	2	1
NAU	0.2293	0.3211	0.4496	GRE	0	3
BRU	0.4280	0.3251	0.2469	NOV	2	2
ITU	0.5304	0.3000	0.1696	SCO	1	0
LEC	0.4685	0.3170	0.2145	SPT	2	1
VAS	0.5403	0.2967	0.1630	CRI	2	1
BAH	0.5883	0.2792	0.1325	VNO	1	1
CRU	0.6967	0.2284	0.0749	GUA	0	1
CHA	0.5313	0.2997	0.1690	TOM	3	2
PON	0.4665	0.3175	0.2160	CRI	1	1
CSA	0.4499	0.3210	0.2290	VNO	1	0
